year,id,references,title,abstract,authors,journal-ref,group_name,group_name_uq
1993,hep-th/9209055,25,Quantum Aspects of Black Holes,"  This review is based on lectures given at the 1992 Trieste Spring School on
String Theory and Quantum Gravity and at the 1992 TASI Summer School in
Boulder, Colorado.
",J. A. Harvey and A. Strominger,,Physics,Physics
1993,hep-th/9304011,16,Lectures on 2D gravity and 2D string theory (TASI 1992),"  Emphasis is on 2d target space (c=1 coupled to gravity).
  Contents:
  0. Introduction, Overview, and Purpose
  1. Loops and States in Conformal Field Theory
  2. 2D Euclidean Quantum Gravity I: Path Integral Approach
  3. Brief Review of the Liouville Theory
  4. 2D Euclidean Quantum Gravity II: Canonical Approach
  5. 2D Critical String Theory
  6. Discretized surfaces, matrix models, and the continuum limit
  7. Matrix Model Technology I: Method of Orthogonal Polynomials
  8. Matrix Model Technology II: Loops on the Lattice
  9. Matrix Model Technology III: Free Fermions from the Lattice
  10. Loops and States in Matrix Model Quantum Gravity
  11. Loops and States in the $c=1$ Matrix Model
  12. Fermi Sea Dynamics and Collective Field Theory
  13. String scattering in two spacetime dimensions
  14. Vertex Operator Calculations and Continuum Methods
  15. Achievements, Disappointments, Future Prospects
  ""if you read only one set of lecture notes this year, don't read these.""
",P. Ginsparg and Gregory Moore,,Physics,Physics
1993,hep-th/9211030,15,Black Hole Remnants and the Information Puzzle,"  Magnetically charged dilatonic black holes have a perturbatively infinite
ground state degeneracy associated with an infinite volume throat region of the
geometry. A simple argument based on causality is given that these states do
not have a description as ordinary massive particles in a low-energy effective
field theory. Pair production of magnetic black holes in a weak magnetic field
is estimated in a weakly-coupled semiclassical expansion about an instanton and
found to be finite, despite the infinite degeneracy of states. This suggests
that these states may store the information apparently lost in black hole
scattering processes.
","T. Banks, M. O'Loughlin, and A. Strominger","Phys.Rev.D47:4476-4482,1993",Physics,Physics
1994,hep-th/9309145,24,Some Speculations about Black Hole Entropy in String Theory,"  The classical Bekenstein entropy of a black hole is argued to arise from
configurations of strings with ends which are frozen on the horizon. Quantum
corrections to this entropy are probably finite unlike the case in quantum
field theory. Finally it is speculated that all black holes are single string
states. The level density of strings is of the right order of magnitude to
reproduce the Bekenstein entropy.
",Leonard Susskind,,Physics,Physics
1994,hep-th/9401139,23,Target Space Duality in String Theory,"  A review article submitted to Physics Report: Target space duality and
discrete symmetries in string theory are reviewed in different settings.
","A. Giveon, M. Porrati and E. Rabinovici","Phys.Rept.244:77-202,1994",Physics,Physics
1994,hep-th/9402002,22,Strong-Weak Coupling Duality in Four Dimensional String Theory,"  We present several pieces of evidence for strong-weak coupling duality
symmetry in the heterotic string theory, compactified on a six dimensional
torus. These include symmetry of the 1) low energy effective action, 2) allowed
spectrum of electric and magnetic charges in the theory, 3) allowed mass
spectrum of particles saturating the Bogomol'nyi bound, and 4) Yukawa couplings
between massless neutral particles and massive charged particles saturating the
Bogomol'nyi bound. This duality transformation exchanges the electrically
charged elementary string excitations with the magnetically charged soliton
states in the theory. It is shown that the existence of a strong-weak coupling
duality symmetry in four dimensional string theory makes definite prediction
about the existence of new stable monopole and dyon states in the theory with
specific degeneracies, including certain supersymmetric bound states of
monopoles and dyons. The relationship between strong-weak coupling duality
transformation in string theory and target space duality transformation in the
five-brane theory is also discussed. (Based on a talk given at the workshop on
Strings and Gravity, Madras, India.)
",Ashoke Sen,"Int.J.Mod.Phys.A9:3707-3750,1994",Physics,Physics
1995,hep-th/9503124,84,String Theory Dynamics In Various Dimensions,"  The strong coupling dynamics of string theories in dimension $d\geq 4$ are
studied. It is argued, among other things, that eleven-dimensional supergravity
arises as a low energy limit of the ten-dimensional Type IIA superstring, and
that a recently conjectured duality between the heterotic string and Type IIA
superstrings controls the strong coupling dynamics of the heterotic string in
five, six, and seven dimensions and implies $S$ duality for both heterotic and
Type II strings.
",Edward Witten,"Nucl.Phys.B443:85-126,1995",Physics,Physics
1997,hep-th/9503124,153,String Theory Dynamics In Various Dimensions,"  The strong coupling dynamics of string theories in dimension $d\geq 4$ are
studied. It is argued, among other things, that eleven-dimensional supergravity
arises as a low energy limit of the ten-dimensional Type IIA superstring, and
that a recently conjectured duality between the heterotic string and Type IIA
superstrings controls the strong coupling dynamics of the heterotic string in
five, six, and seven dimensions and implies $S$ duality for both heterotic and
Type II strings.
",Edward Witten,"Nucl.Phys.B443:85-126,1995",Physics,Physics
1995,hep-th/9410167,72,Unity of Superstring Dualities,"  The effective action for type II string theory compactified on a six torus is
$N=8$ supergravity, which is known to have an $E_{7}$ duality symmetry. We show
that this is broken by quantum effects to a discrete subgroup, $E_7(\Z)$, which
contains both the T-duality group $SO(6,6;\Z)$ and the S-duality group
$SL(2;\Z)$. We present evidence for the conjecture that $E_7(\Z)$ is an exact
\lq U-duality' symmetry of type II string theory. This conjecture requires
certain extreme black hole states to be identified with massive modes of the
fundamental string. The gauge bosons from the Ramond-Ramond sector couple not
to string excitations but to solitons. We discuss similar issues in the context
of toroidal string compactifications to other dimensions, compactifications of
the type II string on $K_3\times T^2$ and compactifications of
eleven-dimensional supermembrane theory.
",C. M. Hull and P. K. Townsend,"Nucl.Phys.B438:109-137,1995",Physics,Physics
1995,hep-th/9407087,67,"Monopole Condensation, And Confinement In N=2 Supersymmetric Yang-Mills
  Theory","  We study the vacuum structure and dyon spectrum of N=2 supersymmetric gauge
theory in four dimensions, with gauge group SU(2). The theory turns out to have
remarkably rich and physical properties which can nonetheless be described
precisely; exact formulas can be obtained, for instance, for electron and dyon
masses and the metric on the moduli space of vacua. The description involves a
version of Olive-Montonen electric-magnetic duality. The ``strongly coupled''
vacuum turns out to be a weakly coupled theory of monopoles, and with a
suitable perturbation confinement is described by monopole condensation.
",N. Seiberg and E. Witten,"Nucl.Phys.B426:19-52,1994; Erratum-ibid.B430:485-486,1994",Physics,Physics
