year,month,id,group_name
1986,4,1,Physics
1988,11,1,Physics
1990,9,1,Physics
1991,8,27,Physics
1991,9,59,Physics
1991,10,76,Physics
1991,11,64,Physics
1991,12,76,Physics
1992,1,81,Physics
1992,2,94,Physics
1992,3,110,Physics
1992,4,175,Physics
1992,5,193,Physics
1992,6,211,Physics
1992,7,252,Physics
1992,8,195,Physics
1992,9,279,Physics
1992,10,336,Physics
1992,11,393,Physics
1992,12,355,Physics
1993,1,304,Physics
1993,2,357,Physics
1993,3,429,Physics
1993,4,410,Physics
1993,5,455,Physics
1993,6,432,Physics
1993,7,505,Physics
1993,8,436,Physics
1993,9,402,Physics
1993,10,520,Physics
1993,11,554,Physics
1993,12,570,Physics
1994,1,468,Physics
1994,2,460,Physics
1994,3,565,Physics
1994,4,503,Physics
1994,5,636,Physics
1994,6,626,Physics
1994,7,587,Physics
1994,8,528,Physics
1994,9,627,Physics
1994,10,650,Physics
1994,11,795,Physics
1994,12,773,Physics
1995,1,613,Physics
1995,2,655,Physics
1995,3,772,Physics
1995,4,626,Physics
1995,5,709,Physics
1995,6,789,Physics
1995,7,734,Physics
1995,8,671,Physics
1995,9,736,Physics
1995,10,863,Physics
1995,11,807,Physics
1995,12,729,Physics
1996,1,641,Physics
1996,2,709,Physics
1996,3,752,Physics
1996,4,746,Physics
1996,5,838,Physics
1996,6,857,Physics
1996,7,952,Physics
1996,8,1013,Physics
1996,9,905,Physics
1996,10,1124,Physics
1996,11,1090,Physics
1996,12,1049,Physics
1997,1,981,Physics
1997,2,961,Physics
1997,3,1023,Physics
1997,4,1051,Physics
1997,5,1175,Physics
1997,6,1250,Physics
1997,7,1270,Physics
1997,8,1036,Physics
1997,9,1366,Physics
1997,10,1460,Physics
1997,11,1238,Physics
1997,12,1308,Physics
1998,1,1240,Physics
1998,2,1136,Physics
1998,3,1378,Physics
1998,4,1226,Physics
1998,5,1404,Physics
1998,6,1457,Physics
1998,7,1518,Physics
1998,8,1306,Physics
1998,9,1645,Physics
1998,10,1601,Physics
1998,11,1533,Physics
1998,12,1503,Physics
1999,1,1267,Physics
1999,2,1333,Physics
1999,3,1646,Physics
1999,4,1514,Physics
1999,5,1577,Physics
1999,6,1682,Physics
1999,7,1724,Physics
1999,8,1554,Physics
1999,9,1759,Physics
1999,10,1707,Physics
1999,11,1791,Physics
1999,12,1763,Physics
2000,1,1597,Physics
2000,2,1575,Physics
2000,3,1794,Physics
2000,4,1510,Physics
2000,5,1755,Physics
2000,6,1708,Physics
2000,7,1737,Physics
2000,8,1838,Physics
2000,9,1757,Physics
2000,10,1895,Physics
2000,11,1964,Physics
2000,12,1886,Physics
2001,1,1668,Physics
2001,2,1675,Physics
2001,3,1951,Physics
2001,4,1807,Physics
2001,5,2063,Physics
2001,6,2011,Physics
2001,7,1889,Physics
2001,8,1662,Physics
2001,9,1709,Physics
2001,10,2260,Physics
2001,11,2289,Physics
2001,12,1823,Physics
2002,1,1849,Physics
2002,2,1720,Physics
2002,3,1849,Physics
2002,4,1907,Physics
2002,5,2133,Physics
2002,6,1892,Physics
2002,7,2152,Physics
2002,8,1875,Physics
2002,9,2238,Physics
2002,10,2339,Physics
2002,11,2325,Physics
2002,12,2202,Physics
2003,1,1868,Physics
2003,2,1918,Physics
2003,3,1964,Physics
2003,4,2010,Physics
2003,5,2192,Physics
2003,6,2265,Physics
2003,7,2415,Physics
2003,8,1922,Physics
2003,9,2281,Physics
2003,10,2343,Physics
2003,11,2185,Physics
2003,12,2369,Physics
2004,1,2012,Physics
2004,2,2177,Physics
2004,3,2303,Physics
2004,4,2198,Physics
2004,5,2286,Physics
2004,6,2424,Physics
2004,7,2532,Physics
2004,8,2252,Physics
2004,9,2572,Physics
2004,10,2749,Physics
2004,11,2613,Physics
2004,12,2672,Physics
2005,1,2225,Physics
2005,2,2009,Physics
2005,3,2435,Physics
2005,4,2431,Physics
2005,5,2404,Physics
2005,6,2556,Physics
2005,7,2558,Physics
2005,8,2304,Physics
2005,9,2654,Physics
2005,10,2844,Physics
2005,11,2705,Physics
2005,12,2760,Physics
2006,1,2291,Physics
2006,2,2190,Physics
2006,3,2576,Physics
2006,4,2259,Physics
2006,5,2556,Physics
2006,6,2521,Physics
2006,7,2641,Physics
2006,8,2512,Physics
2006,9,2542,Physics
2006,10,3093,Physics
2006,11,2856,Physics
2006,12,2639,Physics
2007,1,2612,Physics
2007,2,2411,Physics
2007,3,2687,Physics
2007,4,2281,Physics
2007,5,2816,Physics
2007,6,2690,Physics
2007,7,2750,Physics
2007,8,2545,Physics
2007,9,2762,Physics
2007,10,3350,Physics
2007,11,2848,Physics
2007,12,2638,Physics
2008,1,2594,Physics
2008,2,2351,Physics
2008,3,2570,Physics
2008,4,2744,Physics
2008,5,2789,Physics
2008,6,2886,Physics
2008,7,3097,Physics
2008,8,2575,Physics
2008,9,2900,Physics
2008,10,3360,Physics
2008,11,2829,Physics
2008,12,3042,Physics
2009,1,3583,Physics
2009,2,3526,Physics
2009,3,3818,Physics
2009,4,3433,Physics
2009,5,3619,Physics
2009,6,3854,Physics
2009,7,4047,Physics
2009,8,3310,Physics
2009,9,4024,Physics
2009,10,4289,Physics
2009,11,4018,Physics
2009,12,4045,Physics
2010,1,3605,Physics
2010,2,3415,Physics
2010,3,4075,Physics
2010,4,3699,Physics
2010,5,3903,Physics
2010,6,4023,Physics
2010,7,3902,Physics
2010,8,3767,Physics
2010,9,4223,Physics
2010,10,4401,Physics
2010,11,4470,Physics
2010,12,4348,Physics
2011,1,3996,Physics
2011,2,3780,Physics
2011,3,4140,Physics
2011,4,3820,Physics
2011,5,4209,Physics
2011,6,4284,Physics
2011,7,4170,Physics
2011,8,4104,Physics
2011,9,4628,Physics
2011,10,4618,Physics
2011,11,4926,Physics
2011,12,4439,Physics
2012,1,4175,Physics
2012,2,4192,Physics
2012,3,4320,Physics
2012,4,4207,Physics
2012,5,4536,Physics
2012,6,4489,Physics
2012,7,4584,Physics
2012,8,4232,Physics
2012,9,4348,Physics
2012,10,5225,Physics
2012,11,4658,Physics
2012,12,4408,Physics
2013,1,4619,Physics
2013,2,4327,Physics
2013,3,4618,Physics
2013,4,4539,Physics
2013,5,4639,Physics
2013,6,4386,Physics
2013,7,5081,Physics
2013,8,4322,Physics
2013,9,4748,Physics
2013,10,5277,Physics
2013,11,4709,Physics
2013,12,4579,Physics
2014,1,4574,Physics
2014,2,4292,Physics
2014,3,4805,Physics
2014,4,4423,Physics
2014,5,4609,Physics
2014,6,4610,Physics
2014,7,5133,Physics
2014,8,4380,Physics
2014,9,5029,Physics
2014,10,5199,Physics
2014,11,4776,Physics
2014,12,5108,Physics
2015,1,4498,Physics
2015,2,4537,Physics
2015,3,5084,Physics
2015,4,4738,Physics
2015,5,4729,Physics
2015,6,5046,Physics
2015,7,5075,Physics
2015,8,4588,Physics
2015,9,5314,Physics
2015,10,5468,Physics
2015,11,5195,Physics
2015,12,5474,Physics
2016,1,4838,Physics
2016,2,4769,Physics
2016,3,5301,Physics
2016,4,4854,Physics
2016,5,5251,Physics
2016,6,5077,Physics
2016,7,5074,Physics
2016,8,4882,Physics
2016,9,5331,Physics
2016,10,5456,Physics
2016,11,5469,Physics
2016,12,5303,Physics
2017,1,4708,Physics
2017,2,4506,Physics
2017,3,5507,Physics
2017,4,4714,Physics
2017,5,5497,Physics
2017,6,5271,Physics
2017,7,4905,Physics
2017,8,4951,Physics
2017,9,5224,Physics
2017,10,5947,Physics
2017,11,5725,Physics
2017,12,5606,Physics
2018,1,5235,Physics
2018,2,4823,Physics
2018,3,5503,Physics
2018,4,5220,Physics
2018,5,5781,Physics
2018,6,5554,Physics
2018,7,5649,Physics
2018,8,5139,Physics
2018,9,5286,Physics
2018,10,6147,Physics
2018,11,5925,Physics
2018,12,5667,Physics
2019,1,5328,Physics
2019,2,5017,Physics
2019,3,6070,Physics
2019,4,5626,Physics
2019,5,5934,Physics
2019,6,5444,Physics
2019,7,5943,Physics
2019,8,5404,Physics
2019,9,6010,Physics
2019,10,6377,Physics
2019,11,5774,Physics
2019,12,6092,Physics
2020,1,5269,Physics
2020,2,5322,Physics
2020,3,5938,Physics
2020,4,6203,Physics
2020,5,6357,Physics
2020,6,6701,Physics
2020,7,6829,Physics
2020,8,5948,Physics
2020,9,6337,Physics
2020,10,6363,Physics
2020,11,6156,Physics
2020,12,6809,Physics
2021,1,5510,Physics
2021,2,5452,Physics
2021,3,6706,Physics
2021,4,5897,Physics
2021,5,6081,Physics
2021,6,6079,Physics
2021,7,6258,Physics
2021,8,5655,Physics
2021,9,6053,Physics
2021,10,6391,Physics
2021,11,5128,Physics
1989,4,1,Mathematics
1989,10,3,Mathematics
1989,11,2,Mathematics
1990,1,5,Mathematics
1990,2,2,Mathematics
1990,3,2,Mathematics
1990,4,1,Mathematics
1990,5,2,Mathematics
1990,6,2,Mathematics
1990,7,2,Mathematics
1990,8,1,Mathematics
1990,9,4,Mathematics
1990,11,1,Mathematics
1990,12,2,Mathematics
1991,1,10,Mathematics
1991,2,3,Mathematics
1991,3,3,Mathematics
1991,4,4,Mathematics
1991,5,3,Mathematics
1991,6,6,Mathematics
