category_id,id,group_name,category_name,category_description,count
hep-ph,121323,Physics,High Energy Physics - Phenomenology,"Theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results.",121323
astro-ph,105316,,,,105316
hep-th,99473,Physics,High Energy Physics - Theory,"Formal aspects of quantum field theory. String theory, supersymmetry and supergravity.",99473
quant-ph,88469,Physics,Quantum Physics,Description coming soon,88469
cs.LG,60716,Computer Science,Machine Learning,"Papers on all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology. cs.LG is also an appropriate primary category for applications of machine learning methods.",60716
gr-qc,58068,Physics,General Relativity and Quantum Cosmology,"General Relativity and Quantum Cosmology Areas of gravitational physics, including experiments and observations related to the detection and interpretation of gravitational waves, experimental tests of gravitational theories, computational general relativity, relativistic astrophysics, solutions to Einstein's equations and their properties, alternative theories of gravity, classical and quantum cosmology, and quantum gravity.",58068
cs.CV,57177,Computer Science,Computer Vision and Pattern Recognition,"Covers image processing, computer vision, pattern recognition, and scene understanding. Roughly includes material in ACM Subject Classes I.2.10, I.4, and I.5.",57177
cond-mat.mes-hall,54477,Physics,Mesoscale and Nanoscale Physics,"Semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, plasmonic nanostructures",54477
cond-mat.mtrl-sci,49080,Physics,Materials Science,"Techniques, synthesis, characterization, structure.  Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces",49080
stat.ML,48883,Statistics,Machine Learning,"Covers machine learning papers (supervised, unsupervised, semi-supervised learning, graphical models, reinforcement learning, bandits, high dimensional inference, etc.) with a statistical or theoretical grounding",48883
math-ph,44410,Physics,Mathematical Physics,"Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories",44410
math.MP,42361,Mathematics,Mathematical Physics,"math.MP is an alias for math-ph. Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories",42361
cond-mat.str-el,41498,Physics,Strongly Correlated Electrons,"Quantum magnetism, non-Fermi liquids, spin liquids, quantum criticality, charge density waves, metal-insulator transitions",41498
math.AP,40515,Mathematics,Analysis of PDEs,"Existence and uniqueness, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDE's, conservation laws, qualitative dynamics",40515
math.CO,40473,Mathematics,Combinatorics,"Discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, combinatorial game theory",40473
cond-mat.stat-mech,38721,Physics,Statistical Mechanics,"Phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, turbulence",38721
astro-ph.SR,36175,Physics,Solar and Stellar Astrophysics,"White dwarfs, brown dwarfs, cataclysmic variables. Star formation and protostellar systems, stellar astrobiology, binary and multiple systems of stars, stellar evolution and structure, coronas. Central stars of planetary nebulae. Helioseismology, solar neutrinos, production and detection of gravitational radiation from stellar systems",36175
astro-ph.GA,35655,Physics,Astrophysics of Galaxies,"Phenomena pertaining to galaxies or the Milky Way. Star clusters, HII regions and planetary nebulae, the interstellar medium, atomic and molecular clouds, dust. Stellar populations. Galactic structure, formation, dynamics. Galactic nuclei, bulges, disks, halo. Active Galactic Nuclei, supermassive black holes, quasars. Gravitational lens systems. The Milky Way and its contents",35655
math.PR,35090,Mathematics,Probability,"Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory",35090
math.IT,34323,Mathematics,Information Theory,math.IT is an alias for cs.IT. Covers theoretical and experimental aspects of information theory and coding.,34323
astro-ph.CO,34151,Physics,Cosmology and Nongalactic Astrophysics,"Phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, cosmological gravitational radiation",34151
cs.IT,33519,Computer Science,Information Theory,Covers theoretical and experimental aspects of information theory and coding. Includes material in ACM Subject Class E.4 and intersects with H.1.1.,33519
math.AG,33170,Mathematics,Algebraic Geometry,"Algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, quantum cohomology",33170
astro-ph.HE,30764,Physics,High Energy Astrophysical Phenomena,"Cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, black holes",30764
nucl-th,30525,Physics,Nuclear Theory,Description coming soon,30525
math.OC,29097,Mathematics,Optimization and Control,"Operations research, linear programming, control theory, systems theory, optimal control, game theory",29097
cond-mat.supr-con,27957,Physics,Superconductivity,"Superconductivity: theory, models, experiment.  Superflow in helium",27957
math.DG,27492,Mathematics,Differential Geometry,"Complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, global analysis",27492
math.NT,26298,Mathematics,Number Theory,"Prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, Galois theory",26298
